sfid|dt_rif|juridical_form|dossier_type|application_source|credimi_industry|region|zone|revenues|pfn_ebitda|pn|ebitda|target|score_accounting|score_identity|score_trend|slope_ebit|slope_fondi|slope_ebitda|slope_fatturato|slope_liquidita|slope_al_accordato_operativo_sistema|slope_al_utilizzo_sistema|slope_al_sconfino_sistema|slope_scad_accordato_operativo_sistema|slope_scad_utilizzo_sistema|slope_scad_sconfino_sistema|slope_rev_accordato_operativo_sistema|slope_rev_utilizzo_sistema|slope_rev_sconfino_sistema|gender
a1Q7R00000eiXcbUAE|2021-10-07|SN|F|D|FOOD_AND_BEVERAGES|LIGURIA|N-W|||||0.0|-0.16153779354770337|-0.590619423|-0.8|20.612501519342317|0.7159832566272675|-1.3552612653855656|133.80754529527533|15.75369513883659|-0.4275161290322576|1.155419354838711|0.0|0.08751612903225786|-0.33999999999999975|0.0|0.0|-0.0066774193548385045|0.5082903225806451|M
a1Q2X00000ZARoVUAX|2020-03-24|RS|S|D|SERVICES|LAZIO|C|132.0|-1.667|54.0|63.0|0.0|-2.7461303460584143|-0.430867051|0.1|6.189476189165828|-16.101875829011433|4.337415842802404|149.37539321544494|13.998234544520438|-25.381809302597148|7.030049124332603|-22.233849964948156|-5.86913244568697|3.402049728361578|3.075468084913654|21.67412214354628|-10.247544065828764|-3.0230795510907673|M
a1Q7R00000ZWIfjUAH|2020-11-05|SR|F|D|CONSTRUCTION|LAZIO|C|||||1.0|-0.16153779354770337|-0.789302556|0.1|24.6691136735018|-5.456726044257157|18.74114205952864|157.93838547305393|22.948974803021592|1.5231887199666279|-15.882349908141302|12.40114998261924|11.530694088281505|6.835562643805936|4.499724157902691|19.697715574269946|2.1236023334563354|-15.979713659396062|F
a1Q2X00000ZEZZlUAP|2020-05-18|SR|F|D|MECHANICS|VENETO|N-E|3913.0|0.4693|297.0|179.0|0.0|-1.7794923996594032|-2.654801803|-3.0|53.5|0.0|53.5|85.5|-1.0|5.506610617404013|1.7364080444610241|-2.902523426761591|-2.798806198101902|-6.996783250362572|5.972703171547851|14.81189098033476|13.726678120441024|-6.910094392992725|M
a1Q7R00000eiTipUAE|2021-09-24|SR|F|D|AGRICOLTURE|LOMBARDIA|N-W|1066.0|1.503|478.0|181.0|0.0|-1.1337077037311243|-2.655170263|0.30000000000000004|-2.027899248361308|-3.4470485771216035|-2.012892537866257|161.87990263176596|22.998430368716843|13.376803575048053|18.034658036900275|1.379610546141664|-1.7822990925272857|-16.781079124103776|6.831351751622621|-1.1874660983701752|10.233441635748031|4.38252026539694|M
a1Q2X00000ZEcq5UAD|2020-09-09|SR|F|D|MECHANICS|PIEMONTE|N-W|6866.0|2.826|897.0|655.0|0.0|-1.2803807630790847|-2.5810462530000002|-1.8|-1.4281075479624272|-9.304202968629482|-4.257679972914261|150.65902498300042|13.839737432370836|16.053180184613066|12.123286109783253|-2.1033689130575097|-0.5601412245435118|5.630535658051276|-1.1928217399754568|16.949785964406445|-17.799703942623005|-3.3376633054128266|M
a1Q7R00000ZWPzWUAX|2021-01-07|SR|F|D|SERVICES|SARDEGNA|I|296.0|-1.234|40.0|47.0|0.0|-1.7456870466039054|-0.760574761|-3.0|8.936074694371648|-16.504953311330574|15.304978345807655|141.10651751978622|7.7823356946935185|-17.40923932580325|-2.8761822804944845|-10.498723014141904|-20.484132579370147|14.949643600436833|6.614384716541721|-1.4697680819751244|21.346707767924944|5.525979363954662|M
a1Q7R00000ej9rpUAA|2021-12-18|DI|C|D|DISTRIBUTION|CAMPANIA|S|||||0.0|-0.16153779354770337|-1.1565560799999999|0.1|15.84083402552476|1.5885329355441522|-3.286252997608596|138.3660221500113|14.626171704512846|12.608717461553809|5.690197918846161|14.80786848971405|-9.056979423408658|-27.047505214808748|-10.126305794781484|0.9994923426319758|5.068365065554872|-10.328208931551723|M
a1Q7R00000a2mHjUAI|2021-03-10|SR|F|R|DISTRIBUTION|LOMBARDIA|N-W|1620.0|2.392|96.0|74.0|0.0|-0.5976071356007755|-1.7203402319999999|-1.5|2.3330472779162794|6.647009731055869|11.255195454341635|129.98444426444453|1.2259147299956492|6.729100653702376|4.384334208359063|-12.381912545488099|5.783340347481659|-5.984587667570909|-20.01611077102345|-1.0259667952899414|-0.6627344788601411|4.517149355504776|M
a1Q2X00000ZEdZAUA1|2020-06-08|DI|L|P|OTHER_CONSUMER_GOODS|LOMBARDIA|N-W|||||0.0|-0.16153779354770337|-1.9142085599999998|0.1|0.08269728203635296|-4.818324032423648|20.57549427942036|137.81514609322474|2.182002572811273|-1.506988764634948|3.0841294784208175|15.06004508037679|-13.157631149841295|12.924374690204878|2.788187671125012|20.540065886569447|-27.459805201671827|-5.261305669588181|M
a1Q7R00000eionrUAA|2021-11-24|SR|F|R|FOOD_AND_BEVERAGES|VENETO|N-E|2990.0|-2.95|1262.0|444.0|0.0|-1.6694229784113377|-2.466735193|-1.8|-1.0|-6.5|0.0|298.5|27.0|0.7361290322580661|1.0525806451612902|0.0|-1.4552903225806462|-1.2323548387096783|0.0|1.677601051214956|11.431189458532|3.3122169677674145|M
a1Q7R00000eiqm2UAA|2021-11-23|SR|F|D|DISTRIBUTION|FRIULI-VENEZIA GIULIA|N-E|7374.0|0.7647|217.0|170.0|0.0|-6.538910633052196|-2.57816911|0.7|-6.5|19.5|-6.0|23.0|-0.5|0.0|0.0|0.0|0.78125|0.78125|0.0|-11.173182937846654|8.50964844252746|-4.672164072485941|F
a1Q2X00000ZEakFUAT|2020-05-28|SR|F|R|CONSTRUCTION|LOMBARDIA|N-W|6539.0|8.409|132.0|159.0|0.0|-0.7889413359864998|-2.332557306|-0.75|70.5|-46.5|114.0|4425.0|435.5|-9.688719027713034|-15.659498830428484|-5.5950363942789565|3.1239059266844538|0.473132512933123|-5.66771240290472|14.901916873295855|-12.47711308356695|-3.1396706955536833|F
a1Q2X00000ZEYf3UAH|2020-05-13|DI|L|P|CHEMISTRY|FRIULI-VENEZIA GIULIA|N-E|||||0.0|-0.16153779354770337|-1.322467413|0.1|-16.306904470695507|1.9189386475387238|20.364089797638005|145.5583451133815|8.529477616077052|2.203518805401689|4.6478007840965985|2.4013864288509708|6.710410237580505|-13.21166184082581|-4.297205323169683|-6.924865775474851|-4.14535279465314|-0.8857100938535821|F
a1Q2X00000ZElwYUAT|2020-07-09|SN|L|P|SERVICES|PIEMONTE|N-W|||||0.0|-0.16153779354770337|-1.0221058809999999|0.1|7.177988138501699|10.87233712031646|0.9876728144183442|146.2528213116401|15.353147824663179|5.9065742210074825|8.69788844640849|-12.646551850607265|3.5596812296802405|-4.080122945159027|-0.09010962914661821|-0.6241310821808105|-2.094757004322954|11.096135704214728|F
a1Q7R00000eirLvUAI|2021-11-26|DI|C|D|SERVICES|LIGURIA|N-W|||||0.0|-0.16153779354770337|-0.573959461|0.1|13.538971385900659|-0.8340219738762169|13.099004737502929|163.51038193601954|-5.535384092465305|-11.481892985574012|13.404295514515818|-12.76229701925695|0.3593115151861357|-17.48217256535889|10.341169749623175|2.808217908732426|9.031395989700824|-8.366714898270047|M
a1Q2X00000Xc5rgUAB|2020-02-07|SR|D|D|SERVICES|SICILIA|I|935.0|1.893|246.0|-187.0|0.0|-0.7191158991765363|-1.3605747609999999|-2.0|12.5|-12.0|10.0|254.5|11.5|-4.427166591241504|-10.46900752207368|-3.957532470213218|-6.210822331302092|1.2233052482706188|8.787106090472706|11.0378959087877|5.605496971792861|6.622332224762659|F
a1Q7R00000ZWMhPUAX|2020-12-07|SR|F|D|DISTRIBUTION|UMBRIA|C|210.0|-0.5|17.0|12.0|0.0|-1.131422199556565|-0.9611588099999999|-0.78|-4.5|-1.0|-9.0|10.5|-13.0|2.8927357885221134|-5.352062043538255|7.458282383849854|-9.155256789784552|5.3333106648335065|-3.123332570224461|3.154985643994715|5.001362367199284|-20.83793831984166|M
a1Q2X00000ZEZZQUA5|2020-05-14|AS|L|P|SERVICES|PIEMONTE|N-W|||||0.0|-0.16153779354770337|-0.805053521|-0.9|19.984078948857327|1.0094882947314119|6.394726661193016|147.06826500097307|-0.689967697770669|-35.29603266029254|8.538318412677997|0.2636796483889311|-12.12540434269975|-21.957186369375556|1.2141859224670035|9.053138161474983|18.96690857544634|-22.71020612966407|M
a1Q2X00000ZEZZvUAP|2020-05-14|AS|L|P|SERVICES|PIEMONTE|N-W|||||0.0|-0.16153779354770337|-1.665355161|-0.9|-3.220731780031838|-3.204727643148625|3.915888556927454|147.16427281618203|20.16313523236459|-1.453396069072328|-12.620240831705418|1.1070031981736101|-0.019935483870967694|-0.019935483870967694|0.0|0.0|0.4193548387096774|0.0|M
a1Q7R00000ZWGg1UAH|2020-10-21|SR|F|D|SERVICES|LOMBARDIA|N-W|623.0|10.76|24.0|100.0|0.0|-2.055972519293911|-2.270403321|-3.0|-0.9591299796426176|11.760529826971984|8.877512831387655|114.8428262629298|15.704818517476655|3.338621050062059|1.366141533386683|3.0819974659894345|7.821214869461268|-4.144558436166017|20.47507316786261|2.441194982333756|-12.543228129282596|-25.491763442813433|M
