,source,target
0,https://www.github.com/,https://www.github.com/#start-of-content
1,https://www.github.com/,https://github.com/
2,https://www.github.com/,https://www.github.com/signup?ref_cta=Sign+up&ref_loc=header+logged+out&ref_page=%2F&source=header-home
3,https://www.github.com/,https://www.github.com/features/actions
4,https://www.github.com/,https://www.github.com/features/packages
5,https://www.github.com/,https://www.github.com/features/security
6,https://www.github.com/,https://www.github.com/features/codespaces
7,https://www.github.com/,https://www.github.com/features/copilot
8,https://www.github.com/,https://www.github.com/features/code-review
9,https://www.github.com/,https://www.github.com/features/issues
10,https://www.github.com/,https://www.github.com/features/discussions
11,https://www.github.com/,https://www.github.com/features
12,https://www.github.com/,https://docs.github.com
13,https://www.github.com/,https://skills.github.com/
14,https://www.github.com/,https://github.blog
15,https://www.github.com/,https://www.github.com/enterprise
16,https://www.github.com/,https://www.github.com/team
17,https://www.github.com/,https://www.github.com/enterprise/startups
18,https://www.github.com/,https://education.github.com
19,https://www.github.com/,https://www.github.com/solutions/ci-cd/
20,https://www.github.com/,https://resources.github.com/devops/
21,https://www.github.com/,https://resources.github.com/devops/fundamentals/devsecops/
22,https://www.github.com/,https://resources.github.com/learn/pathways/
23,https://www.github.com/,https://resources.github.com/
24,https://www.github.com/,https://www.github.com/customer-stories
25,https://www.github.com/,https://partner.github.com/
26,https://www.github.com/,https://www.github.com/sponsors
27,https://www.github.com/,https://www.github.com/readme
28,https://www.github.com/,https://www.github.com/topics
29,https://www.github.com/,https://www.github.com/trending
30,https://www.github.com/,https://www.github.com/collections
31,https://www.github.com/,https://www.github.com/pricing
32,https://www.github.com/,https://docs.github.com/en/search-github/github-code-search/understanding-github-code-search-syntax
33,https://www.github.com/,https://www.github.com/login
34,https://www.github.com/,https://www.github.com/
35,https://www.github.com/,https://www.github.com/organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=Home+campaign+hero&ref_page=%2F
36,https://www.github.com/,https://www.github.com/#productivity
37,https://www.github.com/,https://www.github.com/#collaboration
38,https://www.github.com/,https://www.github.com/#security
39,https://www.github.com/,https://www.github.com/organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=homepage+sticky+nav&ref_page=%2F
40,https://www.github.com/,https://www.github.com/join?ref_cta=Sign+up+for+GitHub&ref_loc=homepage+sticky+nav&ref_page=%2F&source=homepage-sticky-nav
41,https://www.github.com/,https://resources.github.com/forrester/
42,https://www.github.com/,https://www.github.com/mobile
43,https://www.github.com/,https://resources.github.com/security/sast/
44,https://www.github.com/,https://www.github.com/features/security/software-supply-chain
45,https://www.github.com/,https://www.github.com/features/security/code
46,https://www.github.com/,https://www.github.com/sindresorhus
47,https://www.github.com/,https://www.github.com/dayhaysoos
48,https://www.github.com/,https://www.github.com/imolorhe
49,https://www.github.com/,https://www.github.com/kazupon
50,https://www.github.com/,https://www.github.com/curl
51,https://www.github.com/,https://www.github.com/chaynhq
52,https://www.github.com/,https://www.github.com/prophen
53,https://www.github.com/,https://www.github.com/homebrew
54,https://www.github.com/,https://www.github.com/yyx990803
55,https://www.github.com/,https://www.github.com/organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=Home+campaign+footer&ref_page=%2F
56,https://www.github.com/,https://github.blog/2023-01-25-100-million-developers-and-counting/
57,https://www.github.com/,https://resources.github.com/newsletter/
58,https://www.github.com/,https://www.github.com/security
59,https://www.github.com/,https://resources.github.com
60,https://www.github.com/,https://github.com/github/roadmap
61,https://www.github.com/,https://resources.github.com/devops/tools/compare/
62,https://www.github.com/,https://docs.github.com/get-started/exploring-integrations/about-building-integrations
63,https://www.github.com/,https://partner.github.com
64,https://www.github.com/,https://www.electronjs.org
65,https://www.github.com/,https://desktop.github.com/
66,https://www.github.com/,https://github.community
67,https://www.github.com/,https://services.github.com/
68,https://www.github.com/,https://www.github.com/premium-support
69,https://www.github.com/,https://www.githubstatus.com/
70,https://www.github.com/,https://support.github.com?tags=dotcom-footer
71,https://www.github.com/,https://github.com/about
72,https://www.github.com/,https://www.github.com/customer-stories?type=enterprise
73,https://www.github.com/,https://www.github.com/about/careers
74,https://www.github.com/,https://www.github.com/about/press
75,https://www.github.com/,https://www.github.com/about/diversity
76,https://www.github.com/,https://socialimpact.github.com/
77,https://www.github.com/,https://shop.github.com
78,https://www.github.com/,https://x.com/github
79,https://www.github.com/,https://www.facebook.com/GitHub
80,https://www.github.com/,https://www.linkedin.com/company/github
81,https://www.github.com/,https://www.youtube.com/github
82,https://www.github.com/,https://www.twitch.tv/github
83,https://www.github.com/,https://www.tiktok.com/@github
84,https://www.github.com/,https://github.com/github
85,https://www.github.com/,https://docs.github.com/site-policy/github-terms/github-terms-of-service
86,https://www.github.com/,https://docs.github.com/site-policy/privacy-policies/github-privacy-statement
87,https://www.github.com/,https://github.com/github/site-policy/pull/582
88,https://www.github.com/,https://www.github.com/sitemap
89,https://www.github.com/,https://www.github.com/git-guides
90,https://www.github.com/#start-of-content,https://www.github.com/#start-of-content
91,https://www.github.com/#start-of-content,https://github.com/
92,https://www.github.com/#start-of-content,https://www.github.com/signup?ref_cta=Sign+up&ref_loc=header+logged+out&ref_page=%2F&source=header-home
93,https://www.github.com/#start-of-content,https://www.github.com/features/actions
94,https://www.github.com/#start-of-content,https://www.github.com/features/packages
95,https://www.github.com/#start-of-content,https://www.github.com/features/security
96,https://www.github.com/#start-of-content,https://www.github.com/features/codespaces
97,https://www.github.com/#start-of-content,https://www.github.com/features/copilot
98,https://www.github.com/#start-of-content,https://www.github.com/features/code-review
99,https://www.github.com/#start-of-content,https://www.github.com/features/issues
100,https://www.github.com/#start-of-content,https://www.github.com/features/discussions
101,https://www.github.com/#start-of-content,https://www.github.com/features
102,https://www.github.com/#start-of-content,https://docs.github.com
103,https://www.github.com/#start-of-content,https://skills.github.com/
104,https://www.github.com/#start-of-content,https://github.blog
105,https://www.github.com/#start-of-content,https://www.github.com/enterprise
106,https://www.github.com/#start-of-content,https://www.github.com/team
107,https://www.github.com/#start-of-content,https://www.github.com/enterprise/startups
108,https://www.github.com/#start-of-content,https://education.github.com
109,https://www.github.com/#start-of-content,https://www.github.com/solutions/ci-cd/
110,https://www.github.com/#start-of-content,https://resources.github.com/devops/
111,https://www.github.com/#start-of-content,https://resources.github.com/devops/fundamentals/devsecops/
112,https://www.github.com/#start-of-content,https://resources.github.com/learn/pathways/
113,https://www.github.com/#start-of-content,https://resources.github.com/
114,https://www.github.com/#start-of-content,https://www.github.com/customer-stories
115,https://www.github.com/#start-of-content,https://partner.github.com/
116,https://www.github.com/#start-of-content,https://www.github.com/sponsors
117,https://www.github.com/#start-of-content,https://www.github.com/readme
118,https://www.github.com/#start-of-content,https://www.github.com/topics
119,https://www.github.com/#start-of-content,https://www.github.com/trending
120,https://www.github.com/#start-of-content,https://www.github.com/collections
121,https://www.github.com/#start-of-content,https://www.github.com/pricing
122,https://www.github.com/#start-of-content,https://docs.github.com/en/search-github/github-code-search/understanding-github-code-search-syntax
123,https://www.github.com/#start-of-content,https://www.github.com/login
124,https://www.github.com/#start-of-content,https://www.github.com/organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=Home+campaign+hero&ref_page=%2F
125,https://www.github.com/#start-of-content,https://www.github.com/#productivity
126,https://www.github.com/#start-of-content,https://www.github.com/#collaboration
127,https://www.github.com/#start-of-content,https://www.github.com/#security
128,https://www.github.com/#start-of-content,https://www.github.com/organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=homepage+sticky+nav&ref_page=%2F
129,https://www.github.com/#start-of-content,https://www.github.com/join?ref_cta=Sign+up+for+GitHub&ref_loc=homepage+sticky+nav&ref_page=%2F&source=homepage-sticky-nav
130,https://www.github.com/#start-of-content,https://resources.github.com/forrester/
